metric,value
EstimatedObjective,19947.2404697128
TrueObjective,17611.9787381289
TrueMeanExperienceRate,3.48604915601497
TrueEdgeExperienceRate5,1.88153075180902
TotalPower,336
ActiveLinks,9776
TrueJain,0.897501568701045
