Metric,Baseline,Proposed,Change,ChangePercent
SumRate,7308.59912183149,3394.26025776512,-3914.33886406637,-53.5579910570531
MeanRate,73.0859912183149,33.9426025776512,-39.1433886406637,-53.5579910570531
MinRate,43.0026614053944,4.86531413177515,-38.1373472736193,-88.6860162306958
Rate5,45.1163899945343,7.08842701525797,-38.0279629792763,-84.2885766877254
Rate10,48.4454982925779,7.90599543457602,-40.5395028580019,-83.6806396606158
Jain,0.680480069700985,0.0930459767286214,-0.587434092972364,-86.3264214674931
ActiveLinks,20000,1545,-18455,-92.275
TotalPower,700.000000000001,25.900655573565,-674.099344426436,-96.2999063466336
ActiveStreams,20000,20000,0,0
