Parameter,ActualField,DeltaSumRatePlus,DeltaSumRateMinus,S_sumRate_norm,DeltaJainPlus,DeltaJainMinus,S_jain_norm,DeltaRate5Plus,DeltaRate5Minus,S_rate5_norm,DeltaRate10Plus,DeltaRate10Minus,S_rate10_norm,DeltaActiveLinksPlus,DeltaActiveLinksMinus,S_activeLinks_norm,DeltaFronthaulPlus,DeltaFronthaulMinus,S_fronthaul_norm,DeltaTotalPowerPlus,DeltaTotalPowerMinus,S_totalPower_norm,DeltaNumScheduledUEPlus,DeltaNumScheduledUEMinus,S_numScheduledUE_norm,DeltaRankMeanPlus,DeltaRankMeanMinus,S_rankMean_norm,DeltaRuntimePlus,DeltaRuntimeMinus,S_runtime_norm
betaPF,candidate.betaPF,-552.831552347885,674.094740347576,-2.39204107960608,0.124416986304112,-0.0723654047603881,3.41129631919048,0.00116610823158281,-0.0525228250720073,0.0807089889806347,0.0589670719928117,-0.101383243634007,0.193171933458724,-276,257,-1.11693210393965,-552,514,-1.11693210393965,-5.45670608670636,9.46850265417458,-1.52814624919786,0,0,0,0,0,0,4.1394531,-16.1176044,0.523365103272984
numUEConnections,candidate.numConnections,-896.051598544323,3898.06803358812,-2.80401467526132,-0.0100586334931666,-0.150310462236422,0.729395365962568,0.377632861215522,-0.498850107643916,0.395277294160695,0.339420272664344,-0.607058359492287,0.342063138391141,-1061,777,-1.15549036043588,-2122,1551,-1.15454735959765,-32.0811037808402,181.198404146665,-6.55110998570085,0,0,0,0,-0.00100000000000011,0.000750037501875178,35.7411538,-70.1616716,0.82083752517914
scheduleThreshold,candidate.scheduleThreshold,-32.0346690305632,-11.7749223285055,-0.373689678949197,0.000219513210810374,-0.00473182957174684,0.812050685876508,0.0293745785651329,-0.085154763796115,1.62884901684437,-0.0150037250700512,-0.0328913089456915,0.203869764972775,-298,293,-11.7169338315483,-596,586,-11.7169338315483,0.159555942732347,-0.37166009219122,0.514567808750632,0,0,0,0,0,0,12.3630805,-1.40033099999999,3.36419705914317
duHeight,cfg.duHeight,-6.66226825526064,-33.7921302430773,0.0528929445438243,0.0242688939927663,-0.0342247051939493,1.01400841062269,0.563006045793816,-0.73569643438731,1.95230111146672,0.784561340545884,-0.672076838026438,1.75479301181712,-13,6,-0.039815590947192,-26,12,-0.039815590947192,-1.27483389114082,0.574935797275344,-0.189392232987035,0,0,0,0,0,0,-12.3896766,-4.24101899999999,-0.210530232555256
numTransmitAntennas,cfg.numTxAntennas,1206.50406656081,-1565.49702090838,1.26101525940358,-0.0281115459251727,0.179157786493048,-0.838387985927246,2.12758216500143,-0.791422703450688,1.02387923721701,3.29355781271244,-1.25806696483189,1.2794326984513,653,-1916,1.25614696842694,1306,-3850,1.26054763900531,41.3458201637169,-34.9686966746255,1.82317539145483,0,0,0,9.9999999999989e-05,-0.0327,0.0191342900478357,-0.277222099999989,4.8388266,-0.0308418098952686
rhoFronthaul,candidate.rhoLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.15418489999999,-9.46213280000001,0.0883008463861712
rhoPower,candidate.rhoPower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.9927609,-11.1144865,0.0103927250756584
rankThreshold,candidate.rankThreshold,-0.0911922338518707,0.00896227513385384,-0.00019526331877305,5.00800716098371e-05,1.3861766081702e-05,0.000627857867094147,-3.01707712901944e-06,-4.32970084971451e-05,6.05516320942325e-05,9.55446966610651e-06,-2.23456424093271e-05,3.8429648878913e-05,0,0,0,0,0,0,0.00305960905441793,0.00478298704040725,-0.000176451375050202,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,-0.000500025001250007,-1.17444399999999,6.99355610000001,-0.211029968980946
repairWeight,candidate.repairPower,-7.11677493578554,-1.49338903533089,-0.0109634703897441,0.00431118541808961,-0.00576510167234251,0.174676203885697,0.370699192344397,-0.471824203609391,1.26654055679318,0.418970460719204,-0.450596426828838,1.04755588589092,-1,0,-0.00209555741827326,-2,0,-0.00209555741827326,2.55202795126244,-2.61799999999999,0.529343271449848,0,0,0,0,0,0,-10.9247208,-9.6782139,-0.0322049839888631
