Parameter,ActualField,BaselineValue,MinusValue,PlusValue,J_inner_base,J_inner_minus,J_inner_plus,Delta_J_inner_minus,Delta_J_inner_plus,Rel_J_inner_minus_pct,Rel_J_inner_plus_pct,S_inner_norm,J_outer_base,J_outer_minus,J_outer_plus,Delta_J_outer_minus,Delta_J_outer_plus,Rel_J_outer_minus_pct,Rel_J_outer_plus_pct,S_outer_norm,J_true_base,J_true_minus,J_true_plus,Delta_J_true_minus,Delta_J_true_plus,Rel_J_true_minus_pct,Rel_J_true_plus_pct,S_true_norm,InnerRank,OuterRank,TrueRank,DirectionConsistency,StabilityFlag,NonSmoothFlag
betaPF,candidate.betaPF,1.23,1.05,1.41,111.003184252676,140.260348011286,94.3296381658377,29.2571637586109,-16.6735460868378,26.3570490842975,-15.0207817902629,-2.06889154372802,2564.6012168351,3238.69595718268,2011.76966448721,674.094740347576,-552.831552347885,26.2845831906552,-21.5562384014665,-2.39204107960608,2564.60121683509,3238.69595718268,2011.76966448722,674.094740347589,-552.831552347873,26.2845831906557,-21.5562384014661,-2.39204107960609,2,2,2,Fully consistent,Stable,0
numUEConnections,candidate.numConnections,2,1,3,111.003184252676,342.168507968859,48.7727222616217,231.165323716184,-62.2304619910538,208.251074302503,-56.0618710265096,-3.96469417993519,2564.6012168351,6462.66925042322,1668.54961829078,3898.06803358812,-896.051598544323,151.995094130019,-34.9392175540693,-2.80401467526132,2564.60121683509,6462.66925042322,1668.54961829078,3898.06803358812,-896.051598544315,151.995094130019,-34.939217554069,-2.80401467526133,1,1,1,Fully consistent,nonsmooth/asymmetric local response,1
scheduleThreshold,candidate.scheduleThreshold,0.0001,3.98107170553497e-05,0.000251188643150958,111.003184252676,108.700852295832,112.589757308212,-2.30233195684359,1.58657305553598,-2.07411343408205,1.42930409268664,1.6572530773301,2564.6012168351,2552.82629450659,2532.56654780454,-11.7749223285055,-32.0346690305632,-0.459132681182946,-1.2491091722282,-0.373689678949197,2564.60121683509,2552.8262945066,2532.56654780453,-11.774922328495,-32.0346690305619,-0.459132681182539,-1.24910917222815,-0.373689678949365,3,4,4,Partially consistent,Stable,0
duHeight,cfg.duHeight,20,14.5,25.5,111.003184252676,98.0277640733969,120.041408783415,-12.9754201792786,9.03822453073971,-11.6892324005253,8.14231104412832,0.991577172232683,2564.6012168351,2530.80908659202,2557.93894857984,-33.7921302430773,-6.66226825526064,-1.31763683262925,-0.259777941752767,0.0528929445438243,2564.60121683509,2530.80908659202,2557.93894857984,-33.79213024307,-6.66226825525246,-1.31763683262897,-0.259777941752449,0.0528929445438262,4,5,5,Fully consistent,Stable,0
numTransmitAntennas,cfg.numTxAntennas,12,4,16,111.003184252676,102.147551191832,191.724455886157,-8.85563306084335,80.7212716334817,-7.97781894318036,72.7197802269678,0.941471990318395,2564.6012168351,999.104195926717,3771.10528339591,-1565.49702090838,1206.50406656081,-61.0425125993006,47.0445096352923,1.26101525940358,2564.60121683509,999.104195926718,3771.10528339592,-1565.49702090838,1206.50406656083,-61.0425125993005,47.044509635293,1.26101525940359,5,3,3,Fully consistent,nonsmooth/asymmetric local response,1
rhoFronthaul,candidate.rhoLink,0.00794328234724281,0.00501187233627272,0.0125892541179417,111.003184252676,111.003184252676,111.003184252676,0,0,0,0,0,2564.6012168351,2564.6012168351,2564.6012168351,0,0,0,0,0,2564.60121683509,2564.60121683509,2564.60121683509,0,0,0,0,0,7,8,8,Fully consistent,Stable,0
rhoPower,candidate.rhoPower,0.00108508434571002,0.000638793514896382,0.0018431746876703,111.003184252676,111.003184252676,111.003184252676,0,0,0,0,0,2564.6012168351,2564.6012168351,2564.6012168351,0,0,0,0,0,2564.60121683509,2564.60121683509,2564.60121683509,0,0,0,0,0,8,9,9,Fully consistent,Stable,0
rankThreshold,candidate.rankThreshold,0.1625,0.1175,0.2075,111.003184252676,111.013422558563,111.009674776668,0.0102383058875688,0.00649052399269578,0.00922343440550628,0.00584715117534058,-0.000168814161508285,2564.6012168351,2564.61017911023,2564.51002460125,0.00896227513385384,-0.0911922338518707,0.000349460768989025,-0.00355580560647197,-0.00019526331877305,2564.60121683509,2564.61017911023,2564.51002460125,0.00896227513476333,-0.0911922338455042,0.000349460769024489,-0.00355580560622373,-0.000195263318762411,6,7,7,Fully consistent,Stable,0
repairWeight,candidate.repairPower,0.052,0.038,0.066,111.003184252676,111.003184252676,111.003184252676,0,0,0,0,0,2564.6012168351,2563.10782779977,2557.48444189931,-1.49338903533089,-7.11677493578554,-0.0582308479590383,-0.27750025575392,-0.0109634703897441,2564.60121683509,2563.10782779977,2557.48444189931,-1.49338903532498,-7.11677493577918,-0.0582308479588079,-0.277500255753672,-0.0109634703897432,9,6,6,Partially consistent,Stable,0
