Metric,Baseline,Proposed,Change,ChangePercent
SumRate,6549.02691470498,2799.16705620991,-3749.85985849507,-57.2582752725485
MeanRate,65.4902691470498,27.9916705620991,-37.4985985849507,-57.2582752725485
MinRate,40.7930716734223,10.002902223229,-30.7901694501933,-75.4789188141815
Rate5,43.8472771931183,12.1385901377041,-31.7086870554142,-72.3162054413513
Rate10,46.8289406914075,13.7563950038861,-33.0725456875214,-70.6241593322862
Jain,0.770629906123895,0.324850386604888,-0.445779519519007,-57.8461225001224
ActiveLinks,20000,1214,-18786,-93.93
TotalPower,700.000000000001,55.9034851156421,-644.096514884359,-92.0137878406226
ActiveStreams,10000,10000,0,0
