metric,value
EstimatedObjective,1862.77298427926
TrueObjective,1812.50008018025
TrueMeanExperienceRate,2.39471341292497
TrueEdgeExperienceRate5,1.51734323623135
TotalPower,252
ActiveLinks,1476
TrueJain,0.955021690354435
