Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,SearchDimensions,InnerMaxIter,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,Objective,J_true,SumRate,MeanRate,MinRate,Rate5,Rate10,Jain,ActiveLinks,TotalPower,ActiveStreams,NumScheduledUE,Best_betaPF,Best_numConnections,Best_scheduleThreshold,Best_rhoLink,Best_rhoPower,Best_maxRank,Best_rankThreshold,Best_repairPower,Best_maxRepairLinks
basic,7,100,100,12,2,9,2,8,8,1,4.0305665,7308.59912183149,7308.59912183152,7308.59912183149,73.0859912183149,43.0026614053944,45.1163899945343,48.4454982925779,0.680480069700985,20000,700.000000000001,20000,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
inner,7,100,100,12,2,9,2,8,8,1,240.3966206,3394.26025776512,3394.26025776512,3394.26025776512,33.9426025776512,4.86531413177515,7.08842701525797,7.90599543457602,0.0930459767286214,1545,25.900655573565,20000,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
GA,7,100,100,12,2,9,2,8,8,8,1706.2283637,2799.16705620991,2799.16705620992,2799.16705620991,27.9916705620991,10.002902223229,12.1385901377041,13.7563950038861,0.324850386604888,1214,55.9034851156421,10000,100,1.94185637931198,2,2.87672960513607e-05,0.00249873995258574,0.000854417504599055,1,0.311303451777877,0.130828588478249,4
PSO,7,100,100,12,2,9,2,8,8,8,1722.6901631,2799.16705620991,2799.16705620992,2799.16705620991,27.9916705620991,10.002902223229,12.1385901377041,13.7563950038861,0.324850386604888,1214,55.9034851156421,10000,100,1.94185637931198,2,2.87672960513607e-05,0.00249873995258574,0.000854417504599055,1,0.311303451777877,0.130828588478249,4
GA+PSO,7,100,100,12,2,9,2,8,8,8,1664.7613194,2799.16705620991,2799.16705620992,2799.16705620991,27.9916705620991,10.002902223229,12.1385901377041,13.7563950038861,0.324850386604888,1214,55.9034851156421,10000,100,1.94185637931198,2,2.87672960513607e-05,0.00249873995258574,0.000854417504599055,1,0.311303451777877,0.130828588478249,4
PSO+GA,7,100,100,12,2,9,2,8,8,8,1391.6476772,2799.16705620991,2799.16705620992,2799.16705620991,27.9916705620991,10.002902223229,12.1385901377041,13.7563950038861,0.324850386604888,1214,55.9034851156421,10000,100,1.94185637931198,2,2.87672960513607e-05,0.00249873995258574,0.000854417504599055,1,0.311303451777877,0.130828588478249,4
PGSAO,7,100,100,12,2,9,2,8,8,8,1386.533893,2799.16705620991,2799.16705620992,2799.16705620991,27.9916705620991,10.002902223229,12.1385901377041,13.7563950038861,0.324850386604888,1214,55.9034851156421,10000,100,1.94185637931198,2,2.87672960513607e-05,0.00249873995258574,0.000854417504599055,1,0.311303451777877,0.130828588478249,4
