Evaluation,Score,BestScore
1,-1359.20302493525,-1359.20302493525
2,-1764.10889219773,-1359.20302493525
3,-2023.39681420559,-1359.20302493525
4,-1859.44912132245,-1359.20302493525
5,-1598.30408160883,-1359.20302493525
6,-1733.60112815218,-1359.20302493525
7,1126.56906649858,1126.56906649858
8,-708.25568442968,1126.56906649858
