Variant,Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,InnerMaxIter,Evaluations,RuntimeSeconds,EstimatedObjective,EstimatedEdgeExperienceRate5,EstimatedMeanExperienceRate,TrueObjective,TrueEdgeExperienceRate5,TrueMeanExperienceRate,Jain,ActiveLinks,TotalPower,RobustEnabled,MeanErrorVariance,MeasuredFraction
nonrobust,basic,21,21,4,8,2,1,1,0.5234572,394.817854684081,0,0,384.908960541096,0,0,0.973737289821801,168,83,0,0.373055304241882,1
nonrobust,inner,21,21,4,8,2,1,1,0.50366,676.153714205449,0,0,602.520285164562,0,0,0.913790531349622,168,83,0,0.373055304241882,1
nonrobust,PSO+GA,21,21,4,8,2,1,2,0.8115973,714.377601698724,0,0,639.712262768796,0,0,0.93150192261142,252,84,0,0.373055304241882,1
robust,basic,21,21,4,8,2,1,1,0.1995689,394.817854684081,0,0,384.908960541096,0,0,0.973737289821801,168,83,1,0.373055304241882,1
robust,inner,21,21,4,8,2,1,1,0.2865716,673.459249258926,0,0,608.284412997439,0,0,0.917075200858637,168,83,1,0.373055304241882,1
robust,PSO+GA,21,21,4,8,2,1,2,0.6765014,713.895122994953,0,0,651.207267473365,0,0,0.9196522502756,252,84,1,0.373055304241882,1
