metric,value
EstimatedObjective,394.817854684081
EstimatedScore,910.185319823154
TrueObjective,384.908960541096
TrueMeanExperienceRate,0
TrueEdgeExperienceRate5,0
TotalPower,83
ActiveLinks,168
TrueJain,0.968888737428302
