metric,value
EstimatedObjective,3249.95857610619
TrueObjective,3081.22375818264
TrueMeanExperienceRate,4.05389366609037
TrueEdgeExperienceRate5,1.30965473344331
TotalPower,252
ActiveLinks,2268
TrueJain,0.839532833027486
