Evaluation,Objective,BestObjective
1,1544.30699114568,1544.30699114568
2,1806.44158790589,1806.44158790589
3,1551.6031976101,1806.44158790589
4,1496.482355237,1806.44158790589
5,1798.31612666322,1806.44158790589
6,1517.02476696121,1806.44158790589
7,2984.58204489181,2984.58204489181
8,2637.9407605905,2984.58204489181
