metric,value
EstimatedObjective,20328.7908573074
TrueObjective,17980.6251551131
TrueMeanExperienceRate,3.56034101608142
TrueEdgeExperienceRate5,1.79481630360209
TotalPower,336
ActiveLinks,10080
TrueJain,0.886800355052644
