Metric,Baseline,Proposed,Change,ChangePercent
SumRate,7012.76145254086,2834.7560090006,-4178.00544354026,-59.5771790016683
MeanRate,70.1276145254086,28.347560090006,-41.7800544354026,-59.5771790016683
MinRate,18.5320591533564,4.52822312427939,-14.003836029077,-75.56546152369
Rate5,24.5558984887938,5.23955450411812,-19.3163439846756,-78.6627457084935
Rate10,27.5787635941338,6.30080459583862,-21.2779589982951,-77.1534188821327
Jain,0.468325006006309,0.256262004325645,-0.212063001680664,-45.2811613646372
ActiveLinks,10000,2718,-7282,-72.82
TotalPower,700,14.9880616074669,-685.011938392533,-97.8588483417904
ActiveStreams,19991,19991,0,0
