Parameter,ActualField,DeltaSumRatePlus,DeltaSumRateMinus,S_sumRate_norm,DeltaJainPlus,DeltaJainMinus,S_jain_norm,DeltaRate5Plus,DeltaRate5Minus,S_rate5_norm,DeltaRate10Plus,DeltaRate10Minus,S_rate10_norm,DeltaActiveLinksPlus,DeltaActiveLinksMinus,S_activeLinks_norm,DeltaFronthaulPlus,DeltaFronthaulMinus,S_fronthaul_norm,DeltaTotalPowerPlus,DeltaTotalPowerMinus,S_totalPower_norm,DeltaNumScheduledUEPlus,DeltaNumScheduledUEMinus,S_numScheduledUE_norm,DeltaRankMeanPlus,DeltaRankMeanMinus,S_rankMean_norm,DeltaRuntimePlus,DeltaRuntimeMinus,S_runtime_norm
betaPF,candidate.betaPF,-556.012058660381,669.695969747226,-2.3954254527087,0.112329978857179,-0.0669774520045543,3.19066033513513,0.0381463558365529,-0.0508650584050252,0.132735939535856,0.0585670277808816,-0.129174496129414,0.225786830894798,-273,262,-1.13155668358714,-546,524,-1.13155668358714,-5.98948468376729,9.99100950054333,-1.93306002858076,0,0,0,0,0,0,5.24878339999998,-13.2078603,0.475420265576582
numUEConnections,candidate.numConnections,-894.205000082153,3905.32328674979,-2.81394392942232,-0.00618385898465817,-0.141643184496161,0.723123455938068,0.367541005123952,-0.370289826189267,0.330081269174357,0.344374033030794,-0.400508553187693,0.268749302276923,-1060,795,-1.17703045685279,-2120,1587,-1.17607868020305,-24.9832992119613,150.412835921159,-6.36497070897079,0,0,0,0,-0.00100000000000011,0.000750037501875178,21.7602743,-76.1176358,0.756364094743122
scheduleThreshold,candidate.scheduleThreshold,-35.8478812033873,-12.4279567493304,-0.433020094464666,-0.000456410301856391,-0.00527771125078752,0.811658718834779,0.0532608357451987,-0.0686256618359633,1.71959176291988,-0.0207047628263783,-0.0598032720816741,0.444862091809415,-299,299,-11.9660454369121,-598,598,-11.9660454369121,0.223391251952158,-0.319744750817534,0.621570877866473,0,0,0,0,0,0,-2.58291579999999,-3.3528067,0.187620841621871
duHeight,cfg.duHeight,-3.08823170252526,-33.9170601849232,0.0602493895058089,0.0241374243484407,-0.034396468412245,1.04157295096481,0.587070153473939,-0.737998221429317,1.97597349947369,0.78291164806807,-1.0036739172553,2.14863224988787,-6,12,-0.0380710659898477,-12,24,-0.0380710659898477,-0.803059900711496,0.296083425902353,-0.132956465917338,0,0,0,0,0,0,-5.137844,-2.63354480000001,-0.0645076434317913
numTransmitAntennas,cfg.numTxAntennas,1204.37496360949,-1562.64183054894,1.2617816565955,-0.0220524908569148,0.193338561975784,-0.894307205338967,2.23905464088137,-0.818267389537908,1.06380198891866,3.58742758528659,-1.26507517225394,1.3616981434535,667,-1900,1.26684997179921,1334,-3818,1.27129159616469,28.1735895329188,-27.4736483789963,1.57063594837261,0,0,0,9.9999999999989e-05,-0.0327,0.0191342900478357,1.14689729999998,8.20884569999998,-0.0424449754944933
rhoFronthaul,candidate.rhoLink,-5.99488464439764,3.33201729598932,-0.0476298332091951,-0.0039902647064502,0.00321719974266926,-0.335128077487384,0.0140227076664727,-0.00945769047717393,0.0914943559584617,0.00258809754148182,-0.00236644957157139,0.0155699870907809,-10,10,-0.110534677532399,-20,20,-0.110534677532399,-3.14864986304577,2.39273903991544,-1.75153889883059,0,0,0,0,0,0,-3.35774090000001,0.337744599999979,-0.248738198906072
rhoPower,candidate.rhoPower,-0.474318209361627,0.279286092006714,-0.00486696375430509,5.4621693218404e-05,-3.2166218460139e-05,0.00510341208816183,0.000147761177024641,-8.70115614519662e-05,0.00115693672399523,5.61224603474741e-05,-3.30728922142143e-05,0.000354486426021906,0,0,0,0,0,0,-0.0266008430410665,0.015665809326606,-0.016895540953166,0,0,0,0,0,0,-3.60472970000001,-1.8605799,-0.148466290846162
rankThreshold,candidate.rankThreshold,-0.0823899331908251,0.00592628643789794,-0.000172598135512336,4.52289492282598e-05,1.23132512356849e-05,0.000585713662191616,-1.88802264489141e-06,-3.97941600067675e-05,5.65265342627661e-05,1.10105904944646e-05,-2.32676301061829e-05,4.12246083707674e-05,0,0,0,0,0,0,0.000727773162395806,0.00351134017140708,-0.000336710621081955,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,-0.000500025001250007,-4.78716220000001,-4.08688570000001,-0.0180382546804563
repairWeight,candidate.repairPower,-2.27417716902346,-1.38925079319142,-0.00172942912611518,0.00445455029723979,-0.00593672314504767,0.184906023384028,0.370846296279144,-0.472864323707425,1.25816135823157,0.393121852266129,-0.451072112951845,1.01526756626389,0,0,0,0,0,0,2.63200000000002,-2.63199999999999,0.636753023597943,0,0,0,0,0,0,-4.58143820000001,-5.51584250000002,0.0240690966181411
