Metric,Baseline,Proposed,Change,ChangePercent
SumRate,7308.59912183149,3377.94815100795,-3930.65097082354,-53.7811816642441
MeanRate,73.0859912183149,33.7794815100795,-39.3065097082354,-53.7811816642441
MinRate,43.0026614053944,4.86672415573004,-38.1359372496644,-88.6827373081622
Rate5,45.1163899945343,7.09022972730638,-38.0261602672279,-84.2845809955864
Rate10,48.4454982925779,7.90746228694774,-40.5380360056302,-83.6776118202107
Jain,0.680480069700985,0.0934833460139214,-0.586996723687064,-86.2621478311628
ActiveLinks,20000,1534,-18466,-92.33
TotalPower,700.000000000001,25.2696585426049,-674.730341457396,-96.3900487796279
ActiveStreams,20000,20000,0,0
