Metric,Baseline,Proposed,Change,ChangePercent
SumRate,7308.59912183149,2473.18810141696,-4835.41102041453,-66.1605724956331
MeanRate,73.0859912183149,24.7318810141696,-48.3541102041453,-66.1605724956331
MinRate,43.0026614053944,3.36176874455827,-39.6408926608362,-92.1824170070168
Rate5,45.1163899945343,5.06856007003923,-40.0478299244951,-88.7655903527448
Rate10,48.4454982925779,5.98065096906865,-42.4648473235093,-87.6548881116888
Jain,0.680480069700985,0.165899712926506,-0.51458035677448,-75.6201951661266
ActiveLinks,20000,534,-19466,-97.33
TotalPower,700.000000000001,218.664182835338,-481.335817164663,-68.7622595949517
ActiveStreams,20000,20000,0,0
