Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,SearchDimensions,InnerMaxIter,InnerIterations,InnerConverged,InnerStopReason,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,Objective,Score,J_true,SumRate,MeanRate,MinRate,Rate5,Rate10,Jain,ActiveLinks,TotalPower,ActiveStreams,NumScheduledUE,Best_betaPF,Best_numConnections,Best_scheduleThreshold,Best_rhoLink,Best_rhoPower,Best_maxRank,Best_rankThreshold,Best_repairPower,Best_maxRepairLinks
GA,7,100,100,12,2,9,35,35,0,max_iter,2,2,2,821.8387354,2881.39439426035,674.0433725994,2881.39439426035,2881.39439426035,28.8139439426035,2.53632980773612,3.92083640170784,5.0916686764351,0.157086824696018,728,229.091548223711,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
PSO,7,100,100,12,2,9,35,35,0,max_iter,2,2,2,793.5059302,2881.39439426035,674.0433725994,2881.39439426035,2881.39439426035,28.8139439426035,2.53632980773612,3.92083640170784,5.0916686764351,0.157086824696018,728,229.091548223711,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
GA+PSO,7,100,100,12,2,9,35,35,0,max_iter,2,2,2,791.1214696,2881.39439426035,674.0433725994,2881.39439426035,2881.39439426035,28.8139439426035,2.53632980773612,3.92083640170784,5.0916686764351,0.157086824696018,728,229.091548223711,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
PSO+GA,7,100,100,12,2,9,35,35,0,max_iter,2,2,2,796.338613,2881.39439426035,674.0433725994,2881.39439426035,2881.39439426035,28.8139439426035,2.53632980773612,3.92083640170784,5.0916686764351,0.157086824696018,728,229.091548223711,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
PGSAO,7,100,100,12,2,9,35,35,0,max_iter,2,2,2,799.4706141,2881.39439426035,674.0433725994,2881.39439426035,2881.39439426035,28.8139439426035,2.53632980773612,3.92083640170784,5.0916686764351,0.157086824696018,728,229.091548223711,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
