metric,value
EstimatedObjective,3245.66138588191
TrueObjective,3065.96530038535
TrueMeanExperienceRate,4.0296335687086
TrueEdgeExperienceRate5,1.44425614056849
TotalPower,252
ActiveLinks,2268
TrueJain,0.856267915804028
