metric,value
EstimatedObjective,19978.2102290165
TrueObjective,17682.7703059784
TrueMeanExperienceRate,3.50066598174898
TrueEdgeExperienceRate5,1.88330286432996
TotalPower,336
ActiveLinks,9776
TrueJain,0.89486761464766
