metric,value
EstimatedObjective,19861.3020623322
TrueObjective,17499.5059240404
TrueMeanExperienceRate,3.46321742091938
TrueEdgeExperienceRate5,1.8978075115096
TotalPower,336
ActiveLinks,9776
TrueJain,0.900652334690759
