metric,value
EstimatedObjective,20420.4453134709
TrueObjective,18093.7440799005
TrueMeanExperienceRate,3.5829463986768
TrueEdgeExperienceRate5,1.78059748189809
TotalPower,336
ActiveLinks,10080
TrueJain,0.881657913105877
