metric,value
EstimatedObjective,2882.0721791051
TrueObjective,2722.301789525
TrueMeanExperienceRate,3.63294167103346
TrueEdgeExperienceRate5,0.941046770678893
TotalPower,252
ActiveLinks,1512
TrueJain,0.820519551847408
