Evaluation,Score,BestScore
1,-2172.6821615444,-2172.6821615444
2,-201.39924377738,-201.39924377738
3,-301.191891854765,-201.39924377738
4,-2417.02703826592,-201.39924377738
5,-2641.14635511543,-201.39924377738
6,-647.751164560508,-201.39924377738
7,466.814626169366,466.814626169366
8,192.564045063305,466.814626169366
