Parameter,Value
x,[0.46409817 0.58189488 0.68422402 0.74547577 0.75342459 0.6274006 0.96346535 0.19680429 0.57337695]
betaPF,1.4353767
numConnections,3
scheduleThreshold,0.00054562727
rhoLink,0.030970736
rhoPower,0.0054156748
maxRank,2
rankThreshold,0.48355941
repairPower,0.0375526
maxRepairLinks,2
