metric,value
EstimatedObjective,3250.58250814258
TrueObjective,3076.20370798957
TrueMeanExperienceRate,4.04423124351815
TrueEdgeExperienceRate5,1.37183910360743
TotalPower,252
ActiveLinks,2268
TrueJain,0.847591214276743
