metric,value
EstimatedObjective,19971.102887286
TrueObjective,17735.4841937331
TrueMeanExperienceRate,3.51174565898169
TrueEdgeExperienceRate5,1.86246079907676
TotalPower,336
ActiveLinks,9776
TrueJain,0.893220138481813
