metric,value
EstimatedObjective,282.777793396915
EstimatedScore,-503.640811989396
TrueObjective,279.470487391144
TrueMeanExperienceRate,0
TrueEdgeExperienceRate5,0
TotalPower,75.8638169983214
ActiveLinks,125
TrueJain,0.731076167108723
