Method,NumDUs,NumUEs,NumRBGs,NumTxAntennas,NumRxAntennas,SearchDimensions,InnerMaxIter,InnerIterations,InnerConverged,InnerStopReason,PopulationSize,MaxEvaluations,Evaluations,RuntimeSeconds,Objective,Score,J_true,SumRate,MeanRate,MinRate,Rate5,Rate10,Jain,ActiveLinks,TotalPower,ActiveStreams,NumScheduledUE,Best_betaPF,Best_numConnections,Best_scheduleThreshold,Best_rhoLink,Best_rhoPower,Best_maxRank,Best_rankThreshold,Best_repairPower,Best_maxRepairLinks
basic,7,100,100,12,2,9,35,0,0,not_run,2,2,1,5.2182572,7750.35178453272,8246.23397654744,7750.35178453269,7750.35178453272,77.5035178453272,22.025824457776,27.7781319022424,31.4475064597948,0.457628378444007,12600,700.000000000004,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
inner,7,100,100,12,2,9,35,35,0,max_iter,2,2,1,444.017473,2881.39439426035,674.0433725994,2881.39439426035,2881.39439426035,28.8139439426035,2.53632980773612,3.92083640170784,5.0916686764351,0.157086824696018,728,229.091548223711,19993,100,1.23,2,0.0001,0.00794328234724281,0.00108508434571002,2,0.1625,0.052,2
