metric,value
EstimatedObjective,2818.6376978044
TrueObjective,2656.86439313686
TrueMeanExperienceRate,3.51428032545461
TrueEdgeExperienceRate5,0.996427458439139
TotalPower,252
ActiveLinks,1476
TrueJain,0.815565487245774
