Evaluation,Objective,BestObjective
1,1330.59831739068,1330.59831739068
2,2310.78195883782,2310.78195883782
3,2556.87973878504,2556.87973878504
4,1098.15711004493,2556.87973878504
5,1510.19229904626,2556.87973878504
6,1616.43542021293,2556.87973878504
7,2505.5149391038,2556.87973878504
8,2799.16705620991,2799.16705620991
